temperature,city,pression,date
278.66,Paris,1020,2022-01-06 15:38:02
278.82,London,1014,2022-01-06 15:38:02
266.1,Washington,1014,2022-01-06 15:38:02
278.66,Paris,1020,2022-01-06 15:37:02
278.82,London,1014,2022-01-06 15:37:02
266.22,Washington,1015,2022-01-06 15:37:02
278.66,Paris,1020,2022-01-06 15:36:01
278.82,London,1014,2022-01-06 15:36:01
266.22,Washington,1015,2022-01-06 15:36:01
278.66,Paris,1020,2022-01-06 15:35:02
278.82,London,1014,2022-01-06 15:35:02
266.22,Washington,1015,2022-01-06 15:35:02
278.75,Paris,1020,2022-01-06 15:34:02
278.82,London,1014,2022-01-06 15:34:02
266.22,Washington,1015,2022-01-06 15:34:02
278.75,Paris,1020,2022-01-06 15:33:26
278.71,London,1014,2022-01-06 15:33:26
266.22,Washington,1015,2022-01-06 15:33:26
278.75,Paris,1020,2022-01-06 15:33:25
278.71,London,1014,2022-01-06 15:33:25
266.22,Washington,1015,2022-01-06 15:33:25
